1.231.81.166:3128  468ms
103.121.199.138:62797  918ms
101.66.198.174:8085  1026ms
103.141.66.78:55  1090ms
101.206.186.99:8080  1373ms
101.89.150.168:3128  1396ms
101.66.199.252:8085  2664ms
103.140.25.230:8080  3082ms
101.255.208.18:8090  3216ms
102.209.79.241:8080  3344ms
103.130.61.61:8081  3640ms
103.113.152.73:14158  4070ms
103.122.1.12:8181  4362ms
103.122.0.52:8181  5786ms
101.96.122.196:8080  5987ms
103.111.116.233:81  6387ms
102.141.166.73:8080  6615ms
102.23.234.83:8080  6717ms
103.132.52.54:8080  7336ms
103.138.70.155:8080  7538ms
103.13.235.18:8080  7909ms
103.133.61.184:8080  8296ms
101.96.98.153:8080  8468ms
103.130.70.253:83  8512ms
102.216.85.13:8080  8957ms
103.141.150.147:8080  10147ms
